base,acuracia-teste,precision-covid-teste,recall-covid-teste,f1-covid-teste,precision-non-covid-teste,recall-non-covid-teste,f1-non-covid-teste,conf-matrix-teste,acuracia-val,precision-covid-val,recall-covid-val,f1-covid-val,precision-non-covid-val,recall-non-covid-val,f1-non-covid-val,conf-matrix-val
vgg16_gauss,0.9053708439897699,0.9703703703703703,0.9003436426116839,0.9340463458110517,0.7603305785123967,0.92,0.832579185520362,"[[ 92   8]
 [ 29 262]]",0.9361111111111111,0.9290780141843972,0.9097222222222222,0.9192982456140351,0.9406392694063926,0.9537037037037037,0.9471264367816091,"[[206  10]
 [ 13 131]]"
vgg16_gauss,0.9028132992327366,0.966789667896679,0.9003436426116839,0.9323843416370107,0.7583333333333333,0.91,0.8272727272727273,"[[ 91   9]
 [ 29 262]]",0.9666666666666667,0.9647887323943662,0.9513888888888888,0.9580419580419581,0.9678899082568807,0.9768518518518519,0.9723502304147466,"[[211   5]
 [  7 137]]"
vgg16_gauss,0.9053708439897699,0.9703703703703703,0.9003436426116839,0.9340463458110517,0.7603305785123967,0.92,0.832579185520362,"[[ 92   8]
 [ 29 262]]",0.9666666666666667,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9722222222222222,0.9722222222222222,0.9722222222222222,"[[210   6]
 [  6 138]]"
vgg16_gauss,0.9053708439897699,0.9703703703703703,0.9003436426116839,0.9340463458110517,0.7603305785123967,0.92,0.832579185520362,"[[ 92   8]
 [ 29 262]]",0.9611111111111111,0.9577464788732394,0.9444444444444444,0.951048951048951,0.963302752293578,0.9722222222222222,0.9677419354838711,"[[210   6]
 [  8 136]]"
vgg16_gauss,0.9028132992327366,0.9702602230483272,0.8969072164948454,0.9321428571428572,0.7540983606557377,0.92,0.8288288288288288,"[[ 92   8]
 [ 30 261]]",0.95,0.9632352941176471,0.9097222222222222,0.9357142857142857,0.9419642857142857,0.9768518518518519,0.959090909090909,"[[211   5]
 [ 13 131]]"
vgg16_gauss,0.9053708439897699,0.9738805970149254,0.8969072164948454,0.9338103756708408,0.7560975609756098,0.93,0.8340807174887893,"[[ 93   7]
 [ 30 261]]",0.975,0.9856115107913669,0.9513888888888888,0.9681978798586571,0.9683257918552036,0.9907407407407407,0.9794050343249429,"[[214   2]
 [  7 137]]"
vgg16_gauss,0.9053708439897699,0.9738805970149254,0.8969072164948454,0.9338103756708408,0.7560975609756098,0.93,0.8340807174887893,"[[ 93   7]
 [ 30 261]]",0.9583333333333334,0.951048951048951,0.9444444444444444,0.9477351916376306,0.9631336405529954,0.9675925925925926,0.9653579676674365,"[[209   7]
 [  8 136]]"
vgg16_gauss,0.8976982097186701,0.9700374531835206,0.8900343642611683,0.92831541218638,0.7419354838709677,0.92,0.8214285714285714,"[[ 92   8]
 [ 32 259]]",0.9527777777777777,0.950354609929078,0.9305555555555556,0.9403508771929825,0.954337899543379,0.9675925925925926,0.960919540229885,"[[209   7]
 [ 10 134]]"
vgg16_gauss,0.9053708439897699,0.9669117647058824,0.9037800687285223,0.9342806394316163,0.7647058823529411,0.91,0.8310502283105021,"[[ 91   9]
 [ 28 263]]",0.9638888888888889,0.9645390070921985,0.9444444444444444,0.9543859649122808,0.9634703196347032,0.9768518518518519,0.9701149425287355,"[[211   5]
 [  8 136]]"
vgg16_gauss,0.9053708439897699,0.9703703703703703,0.9003436426116839,0.9340463458110517,0.7603305785123967,0.92,0.832579185520362,"[[ 92   8]
 [ 29 262]]",0.9638888888888889,0.9517241379310345,0.9583333333333334,0.9550173010380624,0.9720930232558139,0.9675925925925926,0.9698375870069605,"[[209   7]
 [  6 138]]"
